year,sector,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1983,22,5599,12022,748383,740879,615,5.247999999999998,10,0.085,52058,15352,36706,2.072,7.027,36863,51,36812,0.006999999999999999,4.976,15195,2.051,9.951,8,8,47
1984,22,5738,12230,755846,749541,702,5.891,76,0.638,42278,11760,30518,1.569,5.641,29703,315,29388,0.042,3.963,12575,1.6780000000000002,7.926,58,58,220
1985,22,5746,12180,761807,754211,605,5.072,103,0.863,43352,8269,35083,1.096,5.747999999999998,28301,972,27329,0.129,3.752,15051,1.996,7.505,85,85,907
1986,22,5707,12121,763261,757708,634,5.348,100,0.8440000000000001,49782,15495,34287,2.045,6.57,37941,394,37547,0.052000000000000005,5.007,11841,1.5630000000000002,10.015,85,85,373
1987,22,5639,11854,756298,749690,633,5.465,90,0.777,44029,13662,30367,1.822,5.872999999999998,30903,386,30517,0.051,4.122,13126,1.751,8.244,75,75,334
1988,22,6046,12654,771111,762828,966,7.926,35,0.287,50573,19888,30685,2.607,6.63,33810,172,33638,0.023,4.432,16763,2.197,8.863999999999997,27,27,129
1989,22,6312,12914,767664,765405,860,6.8370000000000015,189,1.503,41913,14739,27174,1.926,5.476,37689,2864,34825,0.374,4.924,4224,0.552,9.848,63,63,348
1990,22,6400,13151,773002,766195,921,7.228,104,0.816,48198,16355,31843,2.135,6.291,34952,1218,33734,0.159,4.562,13246,1.729,9.124,88,88,896
1991,22,6524,13897,774448,770728,1276,9.578,126,0.946,56512,26138,30374,3.391,7.332000000000002,48989,1283,47706,0.166,6.356,7523,0.976,12.712,102,102,346
1992,22,5718,13624,771759,760487,1113,8.501,51,0.39,82183,41118,41065,5.407,10.807,58904,711,58193,0.093,7.746,23279,3.0610000000000004,15.491,40,40,181
1993,22,6039,14058,759085,765329,906,6.516,598,4.301,59297,17110,42187,2.236,7.747999999999998,72132,9691,62441,1.266,9.425,-12835,-1.6769999999999998,15.496,221,225,1354
1994,22,6003,14126,740789,750509,821,5.853,623,4.441,42874,15573,27301,2.075,5.712999999999999,62219,8441,53778,1.125,8.29,-19345,-2.5780000000000003,11.425,270,285,1466
1995,22,6136,14498,721065,731612,984,6.877000000000002,606,4.235,41807,14148,27659,1.934,5.714,63287,6275,57012,0.858,8.65,-21480,-2.9360000000000004,11.429,236,238,1259
1996,22,6204,14958,691832,708306,1210,8.211,768,5.211,51182,26186,24996,3.697,7.226,84187,12976,71211,1.832,11.886,-33005,-4.66,14.452,265,274,1790
1997,22,6148,14887,687013,694491,925,6.216,915,6.148,55304,18765,36539,2.702,7.962999999999999,69777,12164,57613,1.751,10.047,-14473,-2.084,15.925999999999998,312,316,2458
1998,22,6179,15440,688461,688295,1402,9.245,851,5.612,69525,34205,35320,4.97,10.101,69691,10706,58985,1.555,10.125,-166,-0.024,20.202,278,286,2071
1999,22,6161,15938,662661,670553,1564,9.967,1073,6.837999999999999,68422,31504,36918,4.698,10.204,83246,22892,60354,3.414,12.415,-14824,-2.211,20.408,279,301,2254
2000,22,6404,16468,647767,654896,1624,10.03,1071,6.615,71576,32801,38775,5.009,10.929,86396,23276,63120,3.554,13.192,-14820,-2.263,21.859,301,321,2568
2001,22,6526,16748,651664,651405,1533,9.204,1350,8.105,82046,37301,44745,5.726,12.595,82435,23285,59150,3.575,12.655,-389,-0.06,25.19,301,332,3190
2002,22,6479,17334,664650,666071,1277,7.441,933,5.436,74263,36474,37789,5.476,11.149,77506,19937,57569,2.9930000000000003,11.636,-3243,-0.487,22.299,339,350,2839
2003,22,6461,17560,661501,661546,1471,8.459,1129,6.4929999999999986,76964,26561,50403,4.015,11.634,76767,20142,56625,3.045,11.604,197,0.03,23.208,243,254,1900
2004,22,6339,17243,629492,645353,1239,7.16,1361,7.865,55720,20888,34832,3.237,8.634,87293,23420,63873,3.629,13.526,-31573,-4.892,17.268,283,286,1426
2005,22,6176,16770,632233,629544,1051,6.207000000000002,1377,8.132,61521,19342,42179,3.072,9.772,56607,21460,35147,3.409,8.992,4914,0.7809999999999999,17.983,231,244,1151
2006,22,6071,16700,617881,625350,1140,6.8279999999999985,1131,6.774,51746,18699,33047,2.99,8.275,66305,13992,52313,2.237,10.603,-14559,-2.3280000000000003,16.549,279,284,2139
2007,22,5544,16192,643135,633347,1039,6.412000000000001,1063,6.56,69969,17188,52781,2.714,11.047,50686,13777,36909,2.175,8.003,19283,3.045,16.006,233,245,1584
2008,22,5509,16371,632105,634938,1309,8.044,1113,6.84,64045,23316,40729,3.672,10.087,69526,19028,50498,2.997,10.95,-5481,-0.863,20.174,224,227,1415
2009,22,5346,16803,642160,637895,1288,7.762,869,5.237,65785,23016,42769,3.608,10.313,57805,16745,41060,2.625,9.062,7980,1.251,18.124,234,321,5198
2010,22,5411,17144,639164,639236,1085,6.409,655,3.869,41276,15035,26241,2.352,6.457000000000002,41220,9244,31976,1.446,6.448,56,0.009000000000000001,12.897,178,180,1274
2011,22,5436,17128,641505,641806,985,5.7429999999999986,1030,6.006,47687,17182,30505,2.677,7.43,48475,16218,32257,2.527,7.553,-788,-0.123,14.86,191,199,974
2012,22,5485,17311,641305,641762,936,5.434,763,4.43,45651,14783,30868,2.3040000000000003,7.113,46876,9986,36890,1.556,7.3039999999999985,-1225,-0.191,14.227,193,200,1743
2013,22,5521,17405,634510,637066,991,5.711,888,5.117,45220,16753,28467,2.63,7.098,50300,11208,39092,1.759,7.896,-5080,-0.797,14.196,207,216,1927
2014,22,5563,17491,633823,634296,884,5.0680000000000005,790,4.529,44183,9769,34414,1.54,6.966,44842,10164,34678,1.602,7.07,-659,-0.104,13.931,194,205,1301
2015,22,5557,17506,640135,637693,921,5.2620000000000005,916,5.233,48278,11619,36659,1.822,7.5710000000000015,43559,9357,34202,1.467,6.831,4719,0.74,13.661,227,229,1018
2016,22,5567,17723,638798,638796,1068,6.073,796,4.526,43153,12804,30349,2.004,6.755,42951,11367,31584,1.779,6.724,202,0.032,13.447,255,261,1445
2017,22,5594,17899,638659,638400,1103,6.193,926,5.199,49735,18406,31329,2.883,7.791,49327,9692,39635,1.518,7.727,408,0.064,15.453,242,246,1459
2018,22,5600,18315,640096,639702,1928,10.647,1516,8.372,75758,40138,35620,6.274,11.843,74703,(S),37636,(S),11.678,1055,0.165,23.356,249,259,1204
1978,23,425377,430942,4078349,3800208,91660,22.164,56876,13.753,1343450,435346,908104,11.456,35.352,785956,276559,509397,7.277,20.682,557494,14.67,41.364,43848,43884,190215
1979,23,447194,452777,4552120,4330487,84423,19.089,63399,14.335,1374449,389876,984573,9.003,31.739,931201,313579,617622,7.241,21.503,443248,10.236,43.007,49144,49178,226198
1980,23,437255,442664,4400614,4467436,70481,15.754,79914,17.863,1094318,328624,765694,7.356,24.495,1229341,358144,871197,8.017000000000001,27.518,-135023,-3.022,48.99100000000001,61352,61390,262266
1981,23,419321,424821,4258290,4324467,59901,13.851,75182,17.385,1039773,300960,738813,6.959,24.044,1168836,312964,855872,7.237,27.028,-129063,-2.984,48.088,54013,54053,216242
1982,23,386149,392213,3884197,4045711,52693,12.941,82615,20.29,921083,261177,659906,6.456,22.767,1244468,358962,885506,8.873,30.76,-323385,-7.9929999999999986,45.534,57258,57292,251433
1983,23,391308,397271,3793374,3870627,63438,16.049,59446,15.039,957487,291087,666400,7.52,24.737,1112592,284520,828072,7.351,28.744,-155105,-4.007,49.475,41798,41844,202078
1984,23,421993,428033,4287414,4043208,81223,19.644,52117,12.604,1356104,386370,969734,9.556,33.54,869828,247997,621831,6.134,21.513,486276,12.027,43.027,38498,38533,186655
1985,23,443417,449549,4648582,4476742,83999,19.145,62409,14.224,1431550,440252,991298,9.834,31.977,1089199,356308,732891,7.959,24.33,342351,7.647,48.66,46154,46193,265153
1986,23,462914,468805,4817535,4716975,84062,18.313,64523,14.056,1365210,409091,956119,8.673,28.942,1163024,359862,803162,7.629,24.656,202186,4.2860000000000005,49.312,47304,47357,258931
1987,23,485814,492223,4963067,4874849,90552,18.851,66803,13.907,1408052,443454,964598,9.097,28.884,1233034,407300,825734,8.355,25.294,175018,3.59,50.588,49787,49827,282863
1988,23,495799,502269,5067939,5033461,83669,16.822,73876,14.853,1328000,392044,935956,7.789,26.383000000000006,1259855,410055,849800,8.147,25.03,68145,1.354,50.059,55972,56048,294652
1989,23,504217,510447,5195581,5129986,80295,15.858,72081,14.236,1355010,390967,964043,7.621,26.414,1224170,391540,832630,7.6320000000000014,23.863000000000003,130840,2.55,47.726000000000006,54793,54878,286729
1990,23,513712,519902,5310457,5252306,81641,15.847,72231,14.02,1368208,386473,981735,7.358,26.05,1251538,386294,865244,7.355,23.828000000000007,116670,2.221,47.657,55007,55077,298795
1991,23,510312,516567,4750234,5047661,71423,13.694,81445,15.615,1001864,306360,695504,6.069,19.848,1598688,446555,1152133,8.847000000000003,31.672,-596824,-11.824000000000002,39.696,58865,58962,334011
1992,23,498328,504464,4498509,4588438,72899,14.358,79431,15.644,1059369,298270,761099,6.5,23.088,1239173,367569,871604,8.011000000000001,27.006,-179804,-3.919,46.176,57534,57597,271177
1993,23,502690,508763,4532328,4506877,79034,15.664,70651,14.002,1123229,316037,807192,7.0120000000000005,24.923,1072750,320917,751833,7.121,23.803,50479,1.12,47.605,51814,51857,241559
1994,23,519709,525822,4743509,4641395,83911,16.223,66757,12.906,1211260,338547,872713,7.294,26.097,1007795,306083,701712,6.595,21.713,203465,4.384,43.426,49371,49410,233116
1995,23,541311,547621,5075670,4908080,88440,16.479,66532,12.397,1270983,364972,906011,7.436,25.896,934886,298647,636239,6.085,19.048,336097,6.848,38.096,49981,50056,231563
1996,23,552598,558855,5191587,5115165,81813,14.783,70927,12.816,1184059,337088,846971,6.59,23.148000000000003,1032596,315631,716965,6.17,20.187,151463,2.9610000000000003,40.374,53080,53128,239958
1997,23,569838,575952,5511000,5357559,84262,14.815,69915,12.292,1315923,355574,960349,6.6370000000000005,24.562,1010269,336069,674200,6.273,18.857,305654,5.705,37.714,52572,52641,247914
1998,23,579130,585800,5767434,5657960,80643,13.882,70906,12.206,1297965,365368,932597,6.457999999999998,22.941,1077807,329294,748513,5.82,19.049,220158,3.891,38.099,51994,52039,237127
1999,23,592239,599313,6165269,5959952,81735,13.803,67442,11.389,1421973,365791,1056182,6.1370000000000005,23.859,1011495,326939,684556,5.4860000000000015,16.972,410478,6.8870000000000005,33.943000000000005,49752,49805,240999
2000,23,600459,608464,6588343,6379268,78486,13.001,68980,11.425999999999998,1501970,378600,1123370,5.935,23.545,1083169,337321,745848,5.2879999999999985,16.98,418801,6.565,33.959,50428,50493,243026
2001,23,598112,606479,6524290,6491886,75419,12.481,71050,11.758,1309569,349721,959848,5.3870000000000005,20.172,1244487,379922,864565,5.852,19.17,65082,1.003,38.34,50317,50365,256955
2002,23,593113,602522,6448135,6532633,80420,13.358,79462,13.199000000000002,1304900,415133,889767,6.355,19.975,1475720,416536,1059184,6.376,22.59,-170820,-2.615,39.95,52861,52980,277919
2003,23,599393,608783,6356984,6362825,86072,14.238,77535,12.826,1308549,384199,924350,6.0379999999999985,20.566,1319197,366665,952532,5.763,20.733,-10648,-0.16699999999999998,41.131,52953,53006,246529
2004,23,620285,629687,6619724,6483884,97449,15.746,75863,12.258,1457940,394012,1063928,6.077000000000001,22.486,1188148,375471,812677,5.791,18.325,269792,4.1610000000000005,36.649,52862,52944,264556
2005,23,645288,655565,6782774,6710199,102819,15.962,79949,12.412,1464578,460776,1003802,6.867000000000001,21.826,1319052,387238,931814,5.771,19.657,145526,2.169,39.315,55793,55842,263588
2006,23,675476,686720,7350004,7062825,116694,17.399,84647,12.621,1745525,534997,1210528,7.575,24.714,1174445,382421,792024,5.415,16.629,571080,8.086,33.257,64143,64280,283654
2007,23,684567,696133,7287316,7333273,97734,14.116,90200,13.028,1417412,394918,1022494,5.385,19.329,1512756,398463,1114293,5.434,20.629,-95344,-1.3,38.657,67358,67418,280513
2008,23,660031,672020,6985242,7138364,80775,11.794,106521,15.553,1272772,332056,940716,4.652,17.83,1579610,414018,1165592,5.8,22.128,-306838,-4.298,35.66,79368,79410,295257
2009,23,598367,610476,5942909,6479899,63411,9.872,127153,19.795,858107,263243,594864,4.062,13.243,1931428,478541,1452887,7.385,29.806,-1073321,-16.564,26.485,87608,87678,332972
2010,23,559059,571516,5348797,5640704,69402,11.76,106659,18.073,900735,286859,613876,5.086,15.968,1487041,380370,1106671,6.7429999999999986,26.363000000000003,-586306,-10.394,31.937,68688,68808,253541
2011,23,541297,553868,5166886,5261201,73889,13.130999999999998,91590,16.276,967576,255576,712000,4.8580000000000005,18.391,1154272,329547,824725,6.2639999999999985,21.939,-186696,-3.549,36.782,58698,58850,216706
2012,23,545438,557412,5298296,5226979,76510,13.78,72137,12.992,1060213,260462,799751,4.9830000000000005,20.283,917192,289895,627297,5.546,17.547,143021,2.736,35.095,46102,46279,187975
2013,23,545073,557109,5451901,5374008,70661,12.688,70247,12.614,1048936,251697,797239,4.684,19.519,893342,270100,623242,5.026,16.623,155594,2.895,33.247,44992,45108,184397
2014,23,552620,565183,5691940,5567220,72850,12.99,64115,11.432,1100495,289355,811140,5.197,19.767,850122,247414,602708,4.444,15.27,250373,4.497,30.54,42145,42219,159322
2015,23,566252,579527,6002763,5849423,75064,13.116,60629,10.594,1149054,298730,850324,5.107,19.644,843359,237195,606164,4.055,14.418,305695,5.226,28.836,41335,41393,160254
2016,23,583710,597416,6307335,6152479,78006,13.268,59058,10.045,1162329,294480,867849,4.7860000000000005,18.892,852232,241683,610549,3.928,13.852,310097,5.04,27.704,42232,42298,168924
2017,23,595734,609566,6492890,6393863,75987,12.6,62989,10.445,1108961,279154,829807,4.3660000000000005,17.344,910863,259837,651026,4.064,14.246,198098,3.0980000000000003,28.492,46669,46735,182213
2018,23,609705,623695,6787093,6642570,77762,12.609000000000002,63789,10.343,1170414,307182,863232,4.624,17.62,881292,243700,637592,3.669,13.267,289122,4.353,26.535,52340,52439,194554
1978,31-33,262447,309140,18118738,17695911,34851,11.394,28289,9.249,2561684,703506,1858178,3.976,14.476,1717524,736021,981503,4.159,9.706,844160,4.77,19.412,19107,19255,225619
1979,31-33,255685,302989,18901965,18524057,31115,10.229,33510,11.015999999999998,2590741,707357,1883384,3.819,13.986,1829752,741721,1088031,4.004,9.878,760989,4.1080000000000005,19.755,19503,19689,223738
1980,31-33,255012,303608,18745186,18799095,31566,10.412,30687,10.122,2210624,765257,1445367,4.0710000000000015,11.759,2325169,639161,1686008,3.4,12.369000000000002,-114545,-0.609,23.518,20796,21005,258463
1981,31-33,270724,319525,18217604,18474014,40425,12.955,25442,8.154,2005871,760258,1245613,4.115,10.858,2518366,706121,1812245,3.822,13.632,-512495,-2.774,21.716,16098,16285,200163
1982,31-33,271895,320897,17478675,17871092,30855,9.622,30404,9.481,1868227,659375,1208852,3.69,10.454,2653318,693351,1959967,3.88,14.847,-785091,-4.393,20.908,21299,21469,223998
1983,31-33,272876,320871,16278683,16899943,30365,9.465,30275,9.437,1693650,527996,1165654,3.124,10.022,2935460,790037,2145423,4.675,17.37,-1241810,-7.348,20.043,21087,21275,253212
1984,31-33,274067,321880,17380723,16845956,30331,9.444,28916,9.003,2675986,608703,2067283,3.613,15.885,1606262,628585,977677,3.731,9.535,1069724,6.35,19.07,21047,21223,216039
1985,31-33,282402,329831,17440468,17406195,39765,12.211,31389,9.639,2316101,789685,1526416,4.537,13.306,2244307,908584,1335723,5.22,12.894,71794,0.412,25.787,22768,22968,334557
1986,31-33,281621,328891,16991715,17113953,34124,10.386,33439,10.178,2118682,731105,1387577,4.272,12.38,2360637,864591,1496046,5.052,13.794,-241955,-1.414,24.76,24109,24304,300705
1987,31-33,282101,328603,16628758,16805793,34938,10.64,34439,10.488,1990238,633879,1356359,3.772,11.843,2349348,935721,1413627,5.568,13.979,-359110,-2.137,23.685,23877,24132,309395
1988,31-33,288204,335732,17128298,16954555,36593,10.986,31286,9.393,2383291,828233,1555058,4.885,14.057,2038496,806668,1231828,4.758,12.023,344795,2.0340000000000003,24.047,22762,22966,305417
1989,31-33,291626,339124,17352837,17219222,35276,10.455,31821,9.431,2225412,667415,1557997,3.876,12.924,1957587,747631,1209956,4.342,11.369000000000002,267825,1.555,22.737,23078,23339,284024
1990,31-33,293873,341704,17081635,17218105,33808,9.936,30900,9.082,1801799,579484,1222315,3.366,10.465,2074995,622821,1452174,3.617,12.050999999999998,-273196,-1.587,20.929,23303,23504,265615
1991,31-33,294523,341921,16099387,16590901,29948,8.709,33860,9.847,1497512,476767,1020745,2.874,9.026,2480439,817637,1662802,4.928,14.951,-982927,-5.924,18.052,25169,25484,424166
1992,31-33,286929,333232,15893415,15994900,27866,8.301,32790,9.768,1704074,482942,1221132,3.019,10.654000000000002,1908515,642790,1265725,4.019,11.932,-204441,-1.278,21.308000000000003,23915,24087,251062
1993,31-33,289102,334916,15903383,15905545,30036,8.985,28765,8.605,1735751,476276,1259475,2.994,10.913,1735658,542926,1192732,3.4130000000000003,10.912,93,0.001,21.825,21299,21520,218344
1994,31-33,291221,337397,16076631,16038619,30364,9.023,28620,8.505,1797579,494869,1302710,3.085,11.208,1722529,573458,1149071,3.575,10.74,75050,0.468,21.48,21522,21731,242465
1995,31-33,293001,339281,16497873,16257822,30375,8.993,27315,8.087,1938156,476608,1461548,2.932,11.921,1452819,470024,982795,2.891,8.936,485337,2.985,17.872,20870,20997,213344
1996,31-33,292240,338408,16134500,16251585,28635,8.465,28370,8.387,1594262,423005,1171257,2.603,9.81,1829574,580214,1249360,3.57,11.258,-235312,-1.4480000000000002,19.62,21533,21769,248465
1997,31-33,292545,337948,16361886,16285740,28275,8.354,29288,8.652999999999999,1831002,461939,1369063,2.8360000000000003,11.243,1673193,589562,1083631,3.62,10.274,157809,0.969,20.548,21763,21968,252646
1998,31-33,294325,340671,16711134,16595666,27760,8.163,26525,7.8,1848292,499585,1348707,3.01,11.137,1616558,517498,1099060,3.1180000000000003,9.741,231734,1.396,19.482,19268,19472,215320
1999,31-33,290178,337124,16460120,16587341,24731,7.3,28067,8.283999999999999,1636512,443637,1192875,2.675,9.866,1888303,588409,1299894,3.547,11.384,-251791,-1.518,19.732,20379,20584,248171
2000,31-33,285603,332845,16373179,16410900,24169,7.222,27782,8.302,1779222,484897,1294325,2.955,10.842,1855431,644330,1211101,3.926,11.306,-76209,-0.464,21.683000000000003,19960,20186,225301
2001,31-33,284859,332190,15901839,16163758,24042,7.197,27784,8.317,1505749,428969,1076780,2.654,9.316,2026219,596657,1429562,3.691,12.536,-520470,-3.22,18.631,19907,20145,247074
2002,31-33,282948,329782,14523927,15326903,24236,7.252000000000002,33051,9.89,1292172,443354,848818,2.893,8.431000000000001,2898406,850353,2048053,5.547999999999999,18.911,-1606234,-10.48,16.861,22917,23349,394507
2003,31-33,276616,322342,14048766,14284639,22060,6.771,28976,8.894,1359205,333946,1025259,2.338,9.515,1834652,578324,1256328,4.049,12.844,-475447,-3.3280000000000003,19.03,20605,20859,223187
