year,vcnaics3,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,531,150793,154657,805309,767815,25478,16.740,20555,13.506,228837,95843,132994,12.483,29.804,152757,76514,76243,9.965,19.895,76080,9.909,39.790,16432,16451,50414
1978,532,17073,21780,196684,186644,4833,23.211,2917,14.009,64336,31740,32596,17.006,34.470,44369,20583,23786,11.028,23.772,19967,10.698,47.544,1811,1842,8705
1978,533,843,957,12204,12557,196,21.087,141,15.169,3822,1461,2361,11.635,30.437,4665,2008,2657,15.991,37.151,-843,-6.713,60.874,91,91,269
1978,541,235184,249937,2202280,2102184,42625,17.652,25699,10.643,545018,210338,334680,10.006,25.926,345876,166175,179701,7.905,16.453,199142,9.473,32.906,17877,18163,103978
1978,551,18835,35415,2364453,2300369,4520,12.917,3675,10.502,539165,169761,369404,7.380,23.438,409795,122483,287312,5.324,17.814,129370,5.624,35.629,421,457,5431
1978,561,96232,108404,1784105,1662416,24161,23.337,14411,13.920,598106,220424,377682,13.259,35.978,354242,135709,218533,8.163,21.309,243864,14.669,42.618,10513,10585,70132
1978,562,10196,10910,159055,151129,1740,16.237,1353,12.625,37398,11647,25751,7.707,24.746,21591,9195,12396,6.084,14.286,15807,10.459,28.573,1020,1020,5765
1978,611,29461,31402,1242160,1167944,4305,13.986,3062,9.948,269512,33072,236440,2.832,23.076,123397,57896,65501,4.957,10.565,146115,12.510,21.131,2252,2285,46575
1978,621,256930,266431,1394934,1320685,29562,11.406,15078,5.817,320547,115801,204746,8.768,24.271,171491,63200,108291,4.785,12.985,149056,11.286,25.970,11203,11292,42911
1978,622,4300,5261,2392538,2313734,240,4.593,169,3.234,237039,31167,205872,1.347,10.245,78906,32672,46234,1.412,3.410,158133,6.835,6.821,86,89,12776
1978,623,18127,23138,1099481,1046992,3364,15.001,1938,8.642,233383,91838,141545,8.772,22.291,126996,70308,56688,6.715,12.130,106387,10.161,24.259,1144,1191,35772
1978,624,35438,45113,642944,585240,8070,18.661,4333,10.020,218502,70049,148453,11.969,37.335,103630,35969,67661,6.146,17.707,114872,19.628,35.415,2308,2373,13089
1978,711,12189,12477,163200,156418,3138,26.225,2115,17.676,52943,21370,31573,13.662,33.847,39316,16928,22388,10.822,25.135,13627,8.712,50.271,1500,1507,9510
1978,712,1650,1763,27708,26553,157,8.969,132,7.541,5115,910,4205,3.427,19.263,2751,558,2193,2.101,10.360,2364,8.903,20.721,78,79,291
1978,713,29402,31059,468232,440199,4501,14.821,3122,10.280,113852,41055,72797,9.326,25.864,57897,20493,37404,4.655,13.152,55955,12.711,26.305,2348,2357,13515
1978,721,37930,41900,980429,936676,6035,14.442,5809,13.901,259517,115935,143582,12.377,27.706,172093,97658,74435,10.426,18.373,87424,9.333,36.745,4161,4201,52925
1978,722,248403,297955,4174596,3942125,56523,19.201,49349,16.764,1290592,705386,585206,17.894,32.738,825275,441261,384014,11.193,20.935,465317,11.804,41.870,34179,34721,248934
1978,811,129241,136181,729248,690313,24145,18.123,18243,13.693,197361,82792,114569,11.993,28.590,118946,58820,60126,8.521,17.231,78415,11.359,34.461,13901,13960,40342
1978,812,143007,163319,994119,975458,23099,14.234,21017,12.951,230995,95477,135518,9.788,23.681,192242,88996,103246,9.124,19.708,38753,3.973,39.416,15048,15310,55721
1978,813,158165,163649,1438443,1349184,14828,9.248,8218,5.125,338571,65556,273015,4.859,25.095,160247,37992,122255,2.816,11.877,178324,13.217,23.755,4851,4884,18685
1979,211,5577,7347,127400,123146,1026,14.276,706,9.823,24902,7397,17505,6.007,20.222,16449,6948,9501,5.642,13.357,8453,6.864,26.715,343,347,2111
1979,212,7096,9564,434442,401548,1450,15.118,1505,15.691,122156,25870,96286,6.443,30.421,56959,28058,28901,6.987,14.185,65197,16.236,28.370,853,860,8112
1979,213,7374,8548,248781,235326,1699,20.554,1135,13.731,72496,23794,48702,10.111,30.807,45003,20735,24268,8.811,19.124,27493,11.683,38.247,659,664,8873
1979,221,5450,11588,675077,663656,788,6.938,326,2.870,60637,21757,38880,3.278,9.137,38468,7696,30772,1.160,5.796,22169,3.340,11.593,40,40,324
1979,236,143471,144481,1323719,1254123,32855,23.442,24204,17.269,447443,147405,300038,11.754,35.678,308732,110347,198385,8.799,24.617,138711,11.060,49.235,18781,18783,83078
1979,237,36056,37078,802649,775551,5749,15.788,4421,12.141,211992,42927,169065,5.535,27.334,157386,41688,115698,5.375,20.293,54606,7.041,40.587,3261,3269,24243
1979,238,268356,271218,2425752,2300814,45819,17.245,34774,13.088,715203,199544,515659,8.673,31.085,465111,161544,303567,7.021,20.215,250092,10.870,40.430,27107,27126,118877
1979,311,21493,27311,1370922,1374272,2389,8.593,3368,12.115,184713,58148,126565,4.231,13.441,191972,89416,102556,6.506,13.969,-7259,-0.528,26.882,1844,1872,20781
1979,312,2343,3014,235633,233505,209,6.817,313,10.209,26921,6871,20050,2.943,11.529,22559,9167,13392,3.926,9.661,4362,1.868,19.322,164,165,2401
1979,313,3596,4740,624985,629404,367,7.673,453,9.471,51580,14888,36692,2.365,8.195,59598,22318,37280,3.546,9.469,-8018,-1.274,16.390,238,243,6090
1979,314,7749,8231,280676,281312,1044,12.705,1016,12.365,41548,13973,27575,4.967,14.769,42880,14655,28225,5.210,15.243,-1332,-0.473,29.539,694,694,7262
1979,315,16064,18305,1204556,1210019,2188,11.842,2531,13.698,175251,64743,110508,5.351,14.483,186622,75361,111261,6.228,15.423,-11371,-0.940,28.967,1729,1744,35793
1979,316,2215,2617,246411,247862,215,8.045,326,12.198,29133,7538,21595,3.041,11.754,32239,10110,22129,4.079,13.007,-3106,-1.253,23.507,192,193,4118
1979,321,14533,16416,583677,577697,2060,12.557,2039,12.429,93310,31565,61745,5.464,16.152,80758,31261,49497,5.411,13.979,12552,2.173,27.959,1246,1258,13319
1979,322,3632,5692,623534,620596,355,6.183,454,7.907,58268,19682,38586,3.171,9.389,52232,19275,32957,3.106,8.416,6036,0.973,16.833,211,213,4214
1979,323,29092,30429,628628,615756,3047,9.938,3508,11.442,94352,26694,67658,4.335,15.323,68313,33114,35199,5.378,11.094,26039,4.229,22.188,2167,2183,13377
1979,324,1441,2349,580081,578158,234,10.036,199,8.535,36009,4440,31569,0.768,6.228,32259,4154,28105,0.718,5.580,3750,0.649,11.159,73,73,850
1979,325,7546,11096,966977,955683,981,8.782,1129,10.107,96206,29263,66943,3.062,10.067,72913,26398,46515,2.762,7.629,23293,2.437,15.259,481,484,4260
1979,326,10643,12511,783764,765085,1397,11.306,1088,8.805,121001,31329,89672,4.095,15.815,83689,33099,50590,4.326,10.939,37312,4.877,21.877,597,604,9224
1979,327,11999,15023,593649,584424,1410,9.320,1623,10.727,86180,24290,61890,4.156,14.746,67766,25831,41935,4.420,11.595,18414,3.151,23.191,929,980,8108
1979,331,4379,5548,707315,685700,388,6.947,463,8.289,92590,24789,67801,3.615,13.503,49694,24650,25044,3.595,7.247,42896,6.256,14.494,217,218,3509
1979,332,43510,47309,1842745,1786788,4702,9.969,4414,9.359,283506,62916,220590,3.521,15.867,171270,71323,99947,3.992,9.585,112236,6.281,19.171,2480,2488,23125
1979,333,24583,27331,1862610,1796347,2388,8.725,2463,8.999,280763,74552,206211,4.150,15.630,148738,70543,78195,3.927,8.280,132025,7.350,16.560,1257,1259,12947
1979,334,9399,10990,1601864,1532328,1404,12.830,1310,11.971,259962,68867,191095,4.494,16.965,120668,51642,69026,3.370,7.875,139294,9.090,15.750,686,689,12276
1979,335,4605,5717,724882,703596,583,10.185,597,10.430,109384,44771,64613,6.363,15.546,65715,24950,40765,3.546,9.340,43669,6.207,18.680,297,299,5232
1979,336,7780,9345,2210056,2129560,1042,11.074,1171,12.445,277265,40796,236469,1.916,13.020,114926,35313,79613,1.658,5.397,162339,7.623,10.793,690,692,9086
1979,337,14599,15514,557667,548963,1866,12.001,1935,12.445,84934,25442,59492,4.635,15.472,67822,27988,39834,5.098,12.355,17112,3.117,24.709,1278,1281,11896
1979,339,22301,23501,671333,667009,2846,12.042,3110,13.160,108420,31800,76620,4.768,16.255,99278,41153,58125,6.170,14.884,9142,1.371,29.768,2051,2057,15870
1979,423,142117,184247,2349440,2264955,21887,12.063,16277,8.971,463109,163028,300081,7.198,20.447,294360,124628,169732,5.502,12.996,168749,7.450,25.993,9706,9895,50118
1979,424,92980,118657,1594144,1575858,12167,10.265,11921,10.057,291255,94300,196955,5.984,18.482,254294,108474,145820,6.883,16.137,36961,2.345,32.274,7241,7376,41382
1979,425,25527,28193,280467,273448,3319,11.988,2303,8.319,54110,18726,35384,6.848,19.788,39886,15332,24554,5.607,14.586,14224,5.202,29.173,1388,1392,6974
1979,441,93720,111755,1395210,1358479,11078,9.984,9489,8.552,223565,67328,156237,4.956,16.457,150138,57458,92680,4.230,11.052,73427,5.405,22.104,6886,6988,40669
1979,442,42737,49007,344932,335407,6721,13.973,4908,10.204,71971,28896,43075,8.615,21.458,53085,20898,32187,6.231,15.827,18886,5.631,31.654,3647,3711,14460
1979,443,24975,31763,186443,181823,4341,13.740,4002,12.667,41927,18780,23147,10.329,23.059,32752,14686,18066,8.077,18.013,9175,5.046,36.026,2670,2750,9269
1979,444,68381,85000,774249,748427,8589,10.232,6469,7.707,147572,54048,93524,7.222,19.718,96007,34126,61881,4.560,12.828,51565,6.890,25.656,4332,4389,18858
1979,445,117489,165974,2011996,1962313,20726,12.494,20546,12.386,391874,169376,222498,8.631,19.970,291665,139029,152636,7.085,14.863,100209,5.107,29.727,12649,12913,57496
1979,446,39781,55039,514943,501200,6474,12.067,3694,6.885,96220,40634,55586,8.107,19.198,68573,29378,39195,5.862,13.682,27647,5.516,27.364,2193,2227,10867
1979,447,118373,148063,851948,859839,18064,11.955,24138,15.975,199317,83296,116021,9.687,23.181,214545,98116,116429,11.411,24.952,-15228,-1.771,46.361,16060,16289,60083
1979,448,89455,147989,1083547,1060553,20308,14.030,13819,9.547,235909,106639,129270,10.055,22.244,190633,70690,119943,6.665,17.975,45276,4.269,35.950,8153,8441,32301
1979,451,39011,48988,295715,287359,7963,16.555,6190,12.869,72481,31437,41044,10.940,25.223,55798,24538,31260,8.539,19.418,16683,5.806,38.835,4246,4464,13742
1979,452,15968,37068,1940926,1933678,3560,9.557,3925,10.537,232619,109204,123415,5.647,12.030,215969,64079,151890,3.314,11.169,16650,0.861,22.338,1688,1762,8118
1979,453,74139,85094,429449,415635,14377,17.327,10139,12.219,110810,49419,61391,11.890,26.660,83064,35239,47825,8.478,19.985,27746,6.676,39.970,7360,7469,22854
1979,454,26992,35468,378551,366222,3929,11.149,3473,9.855,74697,25129,49568,6.862,20.397,49829,19458,30371,5.313,13.606,24868,6.790,27.212,2444,2477,10119
1979,481,1368,2891,263138,247885,521,19.350,124,4.605,37125,8532,28593,3.442,14.977,6757,1713,5044,0.691,2.726,30368,12.251,5.452,17,17,54
1979,483,845,1176,52431,51106,157,13.827,76,6.693,12851,5034,7817,9.850,25.146,10059,2865,7194,5.606,19.683,2792,5.463,39.366,7,7,43
1979,484,60489,69238,1122000,1076983,12865,19.044,9494,14.054,248501,86263,162238,8.010,23.074,158026,70981,87045,6.591,14.673,90475,8.401,29.346,6903,6922,27431
1979,485,12041,12687,247068,242044,1715,14.172,544,4.495,43811,12427,31384,5.134,18.100,34310,9912,24398,4.095,14.175,9501,3.925,28.350,256,262,1786
1979,486,341,1564,73451,71702,143,9.473,34,2.252,8050,3414,4636,4.761,11.227,4681,767,3914,1.070,6.528,3369,4.699,13.057,(D),(D),(D)
1979,487,873,896,11486,11441,186,22.051,81,9.603,3128,1569,1559,13.714,27.341,3048,657,2391,5.743,26.642,80,0.699,53.284,63,63,445
1979,488,10197,13489,310647,300480,2213,17.403,667,5.245,72248,22000,50248,7.322,24.044,51131,11097,40034,3.693,17.016,21117,7.028,34.033,278,296,1984
1979,492,1865,2312,103960,99319,701,31.784,488,22.127,15779,5379,10400,5.416,15.887,6653,3032,3621,3.053,6.699,9126,9.189,13.397,404,404,1510
1979,493,6123,9290,397937,390306,1018,11.177,654,7.181,72670,27042,45628,6.928,18.619,57324,14404,42920,3.690,14.687,15346,3.932,29.374,229,229,1847
1979,511,15959,18223,649155,632739,3074,17.293,2179,12.258,97449,35759,61690,5.651,15.401,64500,28204,36296,4.457,10.194,32949,5.207,20.388,1363,1369,10640
1979,512,9418,14786,199016,193511,2327,15.949,1936,13.269,57688,19626,38062,10.142,29.811,46141,16292,29849,8.419,23.844,11547,5.967,47.688,953,972,6403
1979,515,5319,6247,177751,171585,642,10.720,126,2.104,28843,12187,16656,7.103,16.810,16389,3545,12844,2.066,9.552,12454,7.258,19.103,27,29,295
1979,517,3340,16569,1016625,1000012,820,4.913,1060,6.351,189732,7894,181838,0.789,18.973,156685,26982,129703,2.698,15.668,33047,3.305,31.337,123,123,792
1979,518,4830,6245,175322,168907,1108,18.165,817,13.395,42321,17885,24436,10.589,25.056,29425,17177,12248,10.170,17.421,12896,7.635,34.842,381,383,2846
1979,519,2008,2390,28478,27947,243,10.321,172,7.305,3956,1120,2836,4.008,14.155,2893,878,2015,3.142,10.352,1063,3.804,20.703,112,112,439
1979,521,20,52,23700,23586,(D),(D),0,0.000,803,(D),640,(D),3.405,630,0,630,0.000,2.671,173,0.733,5.342,0,0,0
1979,522,46746,106372,2004440,1937634,9716,9.418,3302,3.201,264893,92035,172858,4.750,13.671,131405,32770,98635,1.691,6.782,133488,6.889,13.563,633,648,4521
1979,523,13059,17190,249041,235609,3122,19.537,702,4.393,56509,19433,37076,8.248,23.984,29789,11137,18652,4.727,12.643,26720,11.341,25.287,319,319,1483
1979,524,90635,118215,1758350,1690666,16001,14.331,2875,2.575,325967,117056,208911,6.924,19.280,190564,42302,148262,2.502,11.272,135403,8.009,22.543,744,772,4748
1979,525,1376,1584,14061,13935,148,9.642,50,3.257,2507,822,1685,5.899,17.991,2242,566,1676,4.062,16.089,265,1.902,32.178,12,12,21
1979,531,159242,163181,863330,808568,26973,17.842,2965,1.961,226377,95859,130518,11.855,27.997,117087,21946,95141,2.714,14.481,109290,13.516,28.962,1717,1747,7487
1979,532,18086,23963,234480,214281,5044,22.105,2755,12.074,75152,28124,47028,13.125,35.072,35400,16710,18690,7.798,16.520,39752,18.551,33.041,1787,1800,8641
1979,533,902,962,10860,11226,181,19.814,84,9.195,3159,1382,1777,12.311,28.141,4003,2764,1239,24.623,35.660,-844,-7.519,56.283,7,9,84
1979,541,252893,268528,2427814,2319325,44972,17.331,26888,10.362,542186,207450,334736,8.944,23.377,324270,134282,189988,5.790,13.981,217916,9.396,27.962,19512,19712,78319
1979,551,19894,36998,2510793,2442427,4730,13.064,3146,8.689,476592,169274,307318,6.931,19.513,338453,97085,241368,3.975,13.857,138139,5.656,27.714,302,308,3637
1979,561,105312,118152,2015905,1902127,25327,22.420,14953,13.237,597552,213233,384319,11.210,31.415,370349,134063,236286,7.048,19.470,227203,11.945,38.941,10888,10972,70663
1979,562,10774,11513,175355,166620,1782,15.983,1055,9.462,37645,8994,28651,5.398,22.593,20394,7334,13060,4.402,12.240,17251,10.354,24.480,805,807,4055
1979,611,29708,31668,1298235,1248932,4019,12.899,2998,9.622,197332,27220,170112,2.179,15.800,97675,21510,76165,1.722,7.821,99657,7.979,15.641,2221,2259,14156
1979,621,269667,279624,1515747,1455646,28753,10.527,15762,5.771,302677,109610,193067,7.530,20.793,183001,61508,121493,4.225,12.572,119676,8.222,25.144,11592,11660,41533
1979,622,4366,5353,2486084,2433538,229,4.268,254,4.734,200562,32868,167694,1.351,8.242,95078,43764,51314,1.798,3.907,105484,4.335,7.814,131,134,19128
1979,623,18696,24118,1165551,1137398,2652,11.197,1787,7.545,188963,72527,116436,6.377,16.614,132717,62893,69824,5.530,11.668,56246,4.945,23.337,1148,1220,37919
1979,624,38142,48897,694756,665823,7309,15.532,3632,7.718,162964,59011,103953,8.863,24.476,105287,26873,78414,4.036,15.813,57677,8.663,31.626,2455,2493,13700
1979,711,13466,13746,189419,176601,3496,26.696,2195,16.761,72453,19432,53021,11.003,41.026,46103,15113,30990,8.558,26.106,26350,14.921,52.211,1590,1593,10259
1979,712,1728,1817,29935,29036,137,7.573,121,6.689,4653,800,3853,2.755,16.025,2971,557,2414,1.918,10.232,1682,5.793,20.464,70,70,364
1979,713,30292,31997,493765,482132,4201,13.361,3093,9.837,99202,34610,64592,7.179,20.576,76474,25721,50753,5.335,15.862,22728,4.714,31.723,2319,2341,16291
1979,721,38688,42673,1040210,1017800,5730,13.472,5451,12.816,227953,96051,131902,9.437,22.397,183184,84523,98661,8.304,17.998,44769,4.399,35.996,3904,3947,46564
