year,metro,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1990,M,4145615,5211287,89596873,88320432,662406,12.900,509914,9.930,14966173,5465861,9500312,6.189,16.945,12411859,4016780,8395079,4.548,14.053,2554314,2.892,28.106,370492,381056,2394846
1990,N,317216,360129,4027046,3980232,41222,11.554,34525,9.677,631567,230529,401038,5.792,15.868,537714,190191,347523,4.778,13.510,93853,2.358,27.019,26423,26730,126292
1990,SW,1545,3607,151767,146845,684,19.382,528,14.962,39241,16456,22785,11.206,26.723,29627,10155,19472,6.915,20.176,9614,6.547,40.352,115,122,1337
1991,M,4116494,5243257,87427135,88253750,651293,12.540,552020,10.629,13513035,5510111,8002924,6.243,15.312,15179363,4874051,10305312,5.523,17.200,-1666328,-1.888,30.623,390501,402181,2988018
1991,N,315478,362263,3961989,3986319,41621,11.584,35689,9.933,594570,242816,351754,6.091,14.915,643365,214816,428549,5.389,16.139,-48795,-1.224,29.831,26528,26804,143586
1991,SW,1593,3609,157830,154896,639,18.171,454,12.911,31908,11550,20358,7.457,20.600,26296,8395,17901,5.420,16.977,5612,3.623,33.953,73,82,1062
1992,M,4121099,5256961,87662224,87303919,615401,11.800,532209,10.205,14279301,5128583,9150718,5.874,16.356,13559876,4354755,9205121,4.988,15.532,719425,0.824,31.064,352791,362792,2329399
1992,N,315742,363465,4024056,3982914,38981,10.801,33883,9.388,638512,217445,421067,5.459,16.031,555550,179221,376329,4.500,13.948,82962,2.083,27.897,23872,24120,109768
1992,SW,1688,3681,148975,151452,717,20.183,460,12.949,38198,11785,26413,7.781,25.221,42614,8384,34230,5.536,28.137,-4416,-2.916,50.442,62,63,235
1993,M,4193577,5315443,89068042,88354239,616626,11.683,542005,10.269,14450892,4879934,9570958,5.523,16.356,13042246,4505617,8536629,5.099,14.761,1408646,1.594,29.523,353861,365573,2219843
1993,N,321088,368862,4142712,4078464,39721,10.869,32927,9.010,651244,215968,435276,5.295,15.968,522895,185220,337675,4.541,12.821,128349,3.147,25.642,23221,23500,105540
1993,SW,1436,3361,135259,140774,670,19.985,653,19.478,37449,11815,25634,8.393,26.602,48494,12825,35669,9.110,34.448,-11045,-7.846,53.205,218,227,996
1994,M,4271536,5421520,91452609,90390159,647038,12.057,537203,10.010,14812886,5342006,9470880,5.910,16.388,12683883,4535734,8148149,5.018,14.032,2129003,2.355,28.065,366231,377901,2491006
1994,N,326544,375962,4266053,4210276,40988,11.014,33323,8.955,659681,238820,420861,5.672,15.668,547480,192595,354885,4.574,13.003,112201,2.665,26.007,24589,24906,120935
1994,SW,1498,3485,144389,138730,646,19.161,419,12.428,35700,14047,21653,10.125,25.734,23626,7113,16513,5.127,17.030,12074,8.703,34.061,98,103,1413
1995,M,4363556,5543216,94663874,92985146,667228,12.187,530180,9.684,15514953,5651762,9863191,6.078,16.685,12147211,4240861,7906350,4.561,13.064,3367742,3.622,26.127,364533,377278,2368010
1995,N,332760,383498,4438084,4350078,42701,11.265,33797,8.916,698184,241283,456901,5.547,16.050,520743,189348,331395,4.353,11.971,177441,4.079,23.942,25032,25358,123060
1995,SW,1574,3664,141948,142313,653,18.465,398,11.254,26149,7525,18624,5.288,18.374,27710,7828,19882,5.501,19.471,-1561,-1.097,36.749,129,133,820
1996,M,4408794,5612864,95441789,94651523,661232,11.895,553753,9.961,15109135,5560866,9548269,5.875,15.963,13539667,4659261,8880406,4.923,14.305,1569468,1.658,28.610,380271,392656,2477563
1996,N,335215,386935,4426371,4413737,41357,10.773,35304,9.196,626630,228347,398283,5.174,14.197,600008,205374,394634,4.653,13.594,26622,0.603,27.188,26010,26281,125991
1996,SW,1531,3697,142369,141573,563,15.548,411,11.350,27412,7613,19799,5.377,19.362,26400,8840,17560,6.244,18.648,1012,0.715,37.295,161,179,2956
1997,M,4461245,5686495,98523846,97122535,697471,12.361,609303,10.799,17609383,6385484,11223899,6.575,18.131,14787416,5510540,9276876,5.674,15.226,2821967,2.906,30.451,396011,410346,2747767
1997,N,336968,390049,4509998,4476365,42478,10.957,37742,9.735,691992,245212,446780,5.478,15.459,624830,224670,400160,5.019,13.958,67162,1.500,27.917,27082,27468,132363
1997,SW,1393,3696,156484,148352,727,20.000,605,16.644,40895,10853,30042,7.316,27.566,24028,10380,13648,6.997,16.197,16867,11.370,32.393,180,184,1141
1998,M,4532416,5785178,102662233,101109308,665536,11.601,568566,9.911,17412057,6090337,11321720,6.024,17.221,14277527,5058058,9219469,5.003,14.121,3134530,3.100,28.242,363921,376260,2341224
1998,N,340319,394594,4702213,4654103,40644,10.361,35988,9.174,691021,244830,446191,5.261,14.848,594824,205593,389231,4.417,12.781,96197,2.067,25.561,25453,25843,118907
1998,SW,1392,3746,176770,166238,549,15.049,353,9.677,50532,9012,41520,5.421,30.397,29079,8124,20955,4.887,17.492,21453,12.905,34.985,24,54,1421
1999,M,4560549,5847391,104901063,103824050,655001,11.279,575180,9.904,17143185,6033063,11110122,5.811,16.512,14985037,5384019,9601018,5.186,14.433,2158148,2.079,28.866,371014,385986,2576950
1999,N,340141,395620,4737899,4717199,39128,9.924,36407,9.234,669043,230742,438301,4.892,14.183,627683,220625,407058,4.677,13.306,41360,0.877,26.613,26289,26723,132192
1999,SW,1451,3913,176447,176544,596,15.684,370,9.737,34563,9657,24906,5.470,19.578,34078,7591,26487,4.300,19.303,485,0.275,38.606,44,75,2725
2000,M,4582183,5894786,108232280,106641879,646744,11.030,584049,9.961,18147529,6185999,11961530,5.801,17.017,14968357,5592891,9375466,5.245,14.036,3179172,2.981,28.072,367102,382665,2433765
2000,N,338658,394888,4825288,4787735,37950,9.625,36731,9.316,689113,229751,459362,4.799,14.393,615443,222159,393284,4.640,12.855,73670,1.539,25.709,25654,26053,123031
2000,SW,1556,4479,186477,181223,983,23.593,358,8.592,44460,15007,29453,8.281,24.533,34310,6823,27487,3.765,18.932,10150,5.601,37.865,37,50,406
2001,M,4595354,5939770,109085877,108598820,660342,11.178,595848,10.086,17281062,6254289,11026773,5.759,15.913,16323838,5584552,10739286,5.142,15.031,957224,0.881,30.063,370663,385796,2565286
2001,N,336569,394230,4728700,4774203,37925,9.631,37026,9.403,601955,217544,384411,4.557,12.608,692834,231909,460925,4.858,14.512,-90879,-1.904,25.217,25674,26121,128056
2001,SW,1654,5105,190604,188896,1039,21.768,375,7.857,41677,15792,25885,8.360,22.064,39931,4364,35567,2.310,21.139,1746,0.924,42.278,49,59,368
2002,M,4613761,5993674,106823136,108286081,715853,12.002,657330,11.021,17723565,7113276,10610289,6.569,16.367,20660783,7087875,13572908,6.546,19.080,-2937218,-2.712,32.735,395770,412141,3421061
2002,N,334806,393545,4613313,4676060,41529,10.562,40852,10.389,690472,269365,421107,5.761,14.766,816755,287903,528852,6.157,17.467,-126283,-2.701,29.532,26185,26651,166439
2002,SW,1695,5520,201823,195895,932,17.658,448,8.488,52861,25227,27634,12.878,26.984,40576,11114,29462,5.673,20.713,12285,6.271,41.426,55,59,486
2003,M,4674415,6058363,107467315,107108452,687871,11.429,608697,10.113,16880960,5685257,11195703,5.308,15.761,16168034,5421061,10746973,5.061,15.095,712926,0.666,30.190,375144,386173,2404484
2003,N,335327,394524,4619634,4612690,39029,9.930,36062,9.175,652003,219751,432252,4.764,14.135,638704,215832,422872,4.679,13.847,13299,0.288,27.693,23995,24360,116134
2003,SW,1464,5706,237240,217387,1219,22.245,767,13.996,74041,40028,34013,18.413,34.060,34957,6069,28888,2.792,16.081,39084,17.979,32.161,149,162,966
2004,M,4758049,6154820,109017693,108272611,698085,11.441,591870,9.700,16448834,5512095,10936739,5.091,15.192,14995910,5207547,9788363,4.810,13.850,1452924,1.342,27.700,375967,387583,2415878
2004,N,337580,397020,4676756,4642600,38848,9.839,34453,8.726,628391,195479,432912,4.211,13.535,559483,190127,369356,4.095,12.051,68908,1.484,24.102,23576,23916,110860
2004,SW,1447,6543,273009,259555,1478,24.337,538,8.859,69280,32631,36649,12.572,26.692,42576,5623,36953,2.166,16.403,26704,10.288,32.807,105,136,1010
2005,M,4845456,6268620,110296607,109732760,733110,11.812,609019,9.812,16270290,5891300,10378990,5.369,14.827,15137834,4837572,10300262,4.409,13.795,1132456,1.032,27.590,393427,404078,2453627
2005,N,339818,400686,4718716,4699262,40670,10.213,35745,8.976,641080,217668,423412,4.632,13.642,601169,185623,415546,3.950,12.793,39911,0.849,25.586,25197,25487,118074
2005,SW,1528,7608,310614,291872,1664,23.620,538,7.637,76354,41217,35137,14.122,26.160,39791,7446,32345,2.551,13.633,36563,12.527,27.266,101,121,635
2006,M,4936004,6427201,113939024,112144697,824236,13.000,650231,10.256,18065340,6745279,11320061,6.015,16.109,14495653,4911406,9584247,4.380,12.926,3569687,3.183,25.852,448839,458667,2653077
2006,N,340063,403877,4819317,4770176,46827,11.685,40540,10.116,685184,270105,415079,5.662,14.364,587384,199087,388297,4.174,12.314,97800,2.050,24.627,30306,30594,132950
2006,SW,1443,8121,346534,328976,1362,17.424,754,9.646,76828,25060,51768,7.618,23.354,42459,11121,31338,3.380,12.906,34369,10.447,25.813,274,301,2662
2007,M,4973228,6505275,114523015,114235747,759184,11.758,662075,10.254,17456136,6008012,11448124,5.259,15.281,16885456,5435027,11450429,4.758,14.781,570680,0.500,29.562,420434,429597,2541474
2007,N,339751,405176,4778744,4794546,40703,10.096,36646,9.090,651036,218994,432042,4.568,13.579,683470,217351,466119,4.533,14.255,-32434,-0.676,27.157,24893,25214,123559
2007,SW,1103,8135,394322,369917,1247,15.537,1029,12.821,95452,36043,59409,9.744,25.804,44403,21596,22807,5.838,12.004,51049,13.800,24.007,194,208,1524
2008,M,4918234,6466094,114263798,114320253,667667,10.306,692773,10.693,16158376,5295962,10862414,4.633,14.134,16306334,5244433,11061901,4.587,14.264,-147958,-0.129,28.269,452977,462994,2613186
2008,N,334172,399791,4751665,4759803,35214,8.772,38497,9.590,613353,190623,422730,4.005,12.886,630604,199334,431270,4.188,13.249,-17251,-0.362,25.772,26595,26893,118789
2008,SW,969,9323,419936,403704,2071,24.059,641,7.447,103194,38516,64678,9.541,25.562,71024,11752,59272,2.911,17.593,32170,7.969,35.186,18,39,1587
2009,M,4786189,6335800,108585189,111551702,594914,9.287,734584,11.468,12738369,4686302,8052067,4.201,11.419,18687962,5259965,13427997,4.715,16.753,-5949593,-5.333,22.839,467833,480037,2816239
2009,N,325473,391389,4512086,4635314,30782,7.785,38833,9.821,481096,162629,318467,3.508,10.379,727484,206818,520666,4.462,15.694,-246388,-5.315,20.758,26572,26957,127895
2009,SW,1022,10763,461041,438640,2522,25.138,1061,10.576,115107,60918,54189,13.888,26.242,68317,15246,53071,3.476,15.575,46790,10.667,31.149,19,58,347
2010,M,4718750,6271055,106274985,107413595,597946,9.497,648597,10.301,12744378,4480614,8263764,4.171,11.865,15000616,4387338,10613278,4.085,13.965,-2256238,-2.101,23.730,401398,413372,2210738
2010,N,320188,387011,4430994,4468665,31316,8.066,33750,8.693,497743,166496,331247,3.726,11.139,572043,163876,408167,3.667,12.801,-74300,-1.663,22.277,22401,22712,101072
2010,SW,1085,12503,483109,472281,2651,22.840,859,7.401,96520,35798,60722,7.580,20.437,75353,7698,67655,1.630,15.955,21167,4.482,31.910,22,39,267
2011,M,4701647,6270504,107816354,107025104,620533,9.906,607775,9.702,14046458,4317273,9729185,4.034,13.124,12455558,3921984,8533574,3.665,11.638,1590900,1.486,23.276,382977,395028,2022001
2011,N,314453,382224,4450193,4437318,31332,8.173,33609,8.767,523124,156836,366288,3.534,11.789,496504,149953,346551,3.379,11.189,26620,0.600,22.379,22656,23286,92074
2011,SW,1127,14765,515939,498855,3349,24.621,1023,7.521,129010,44671,84339,8.955,25.861,92051,36229,55822,7.262,18.452,36959,7.409,36.905,26,31,368
2012,M,4748962,6313377,110068903,108915492,630945,10.041,571614,9.097,14948021,4413557,10534464,4.052,13.724,12634741,4126737,8508004,3.789,11.600,2313280,2.124,23.201,343420,355029,2017150
2012,N,313220,381342,4514271,4478537,31815,8.354,30804,8.089,570068,160961,409107,3.594,12.729,499217,154319,344898,3.446,11.147,70851,1.582,22.294,20242,20621,92747
2012,SW,1051,15400,597446,554862,1884,12.520,1179,7.835,142930,49432,93498,8.909,25.760,58184,15687,42497,2.827,10.486,84746,15.273,20.972,37,76,1330
2013,M,4776599,6351293,112103428,111077177,622862,9.849,568447,8.989,14714394,4550975,10163419,4.097,13.247,12666989,4194619,8472370,3.776,11.404,2047405,1.843,22.808,350827,358078,2040725
2013,N,311048,379699,4511391,4508435,30962,8.156,30803,8.114,511697,153815,357882,3.412,11.350,505567,153930,351637,3.414,11.214,6130,0.136,22.428,20512,20717,94468
2013,SW,975,16798,750545,673484,3384,21.127,1823,11.381,231291,108347,122944,16.088,34.342,76116,29034,47082,4.311,11.302,155175,23.041,22.604,10,74,1268
2014,M,4815524,6426880,114693396,113352667,634104,9.934,546469,8.561,14865136,4750451,10114685,4.191,13.114,12177084,3824654,8352430,3.374,10.743,2688052,2.371,21.485,353921,361840,1970542
2014,N,310097,380316,4544231,4525274,31121,8.206,28979,7.641,515738,163981,351757,3.624,11.397,477296,145183,332113,3.208,10.547,38442,0.849,21.095,20021,20277,90749
2014,SW,1031,18355,763322,756691,3116,17.749,1518,8.647,153482,83191,70291,10.994,20.283,143229,47942,95287,6.336,18.928,10253,1.355,37.857,20,75,1269
2015,M,4862044,6505952,117739566,116192420,645008,9.984,553458,8.567,15523720,5075231,10448489,4.368,13.360,12419926,3944445,8475481,3.395,10.689,3103794,2.671,21.378,356577,365884,2078646
2015,N,309516,381285,4601830,4573238,31005,8.156,28697,7.549,535341,162325,373016,3.549,11.706,476387,145161,331226,3.174,10.417,58954,1.289,20.834,20172,20428,88789
2015,SW,1082,22276,796028,775846,5875,29.073,1738,8.601,165322,79165,86157,10.204,21.309,126329,20383,105946,2.627,16.283,38993,5.026,32.565,18,23,204
2016,M,4930259,6629724,120166725,118921494,668971,10.194,534411,8.143,15254291,4891816,10362475,4.113,12.827,12769623,3997554,8772069,3.362,10.738,2484668,2.089,21.476,366045,375546,2183171
2016,N,309106,382755,4604532,4600765,31073,8.149,28226,7.402,506637,160566,346071,3.490,11.012,498955,144745,354210,3.146,10.845,7682,0.167,21.690,20302,20719,93918
2016,SW,1116,24765,885431,842802,4156,17.666,1678,7.133,222771,141991,80780,16.848,26.432,139000,31294,107706,3.713,16.493,83771,9.940,32.985,16,91,119
2017,M,4964951,6666863,121801259,120812862,640882,9.649,590689,8.894,16206512,4885468,11321044,4.044,13.415,14230549,4687696,9542853,3.880,11.779,1975963,1.636,23.558,386438,397262,2387306
2017,N,306705,380226,4585200,4583329,29233,7.681,29954,7.870,533211,153974,379237,3.359,11.634,530762,167493,363269,3.654,11.580,2449,0.053,23.161,20906,21179,95836
2017,SW,1019,25019,922199,906575,3019,12.133,2745,11.032,168013,71619,96394,7.900,18.533,140420,69939,70481,7.715,15.489,27593,3.044,30.978,34,49,388
2018,M,5000116,6692115,124249591,123011741,614953,9.220,569660,8.541,15644697,4811841,10832856,3.912,12.718,13160194,4141311,9018883,3.367,10.698,2484503,2.020,21.397,411686,426619,2411545
2018,N,304399,377897,4620663,4606832,27903,7.386,27705,7.333,506097,139129,366968,3.020,10.986,478247,142534,335713,3.094,10.381,27850,0.605,20.763,21300,21769,96666
2018,SW,965,27118,970385,949274,4003,15.436,1634,6.301,185367,67144,118223,7.073,19.527,144260,25424,118836,2.678,15.197,41107,4.330,30.394,14,119,848
